datetime_local,bpm
2024-12-13 10:55:11,72
2024-12-13 11:00:16,76
2024-12-13 11:01:28,69
2024-12-13 11:01:33,71
2024-12-13 11:01:38,71
2024-12-13 11:02:27,69
2024-12-13 11:03:06,64
2024-12-13 11:03:07,62
2024-12-13 11:03:08,62
2024-12-13 11:03:09,65
2024-12-13 11:03:10,69
2024-12-13 11:03:11,69
2024-12-13 11:03:12,67
2024-12-13 11:03:15,83
2024-12-13 11:03:17,65
2024-12-13 11:03:18,55
2024-12-13 11:03:19,62
2024-12-13 11:03:20,65
2024-12-13 11:03:21,65
2024-12-13 11:03:22,67
2024-12-13 11:03:23,67
2024-12-13 11:03:24,69
2024-12-13 11:03:25,64
2024-12-13 11:03:26,62
2024-12-13 11:03:27,61
2024-12-13 11:03:28,61
2024-12-13 11:03:29,64
2024-12-13 11:03:30,65
2024-12-13 11:03:31,65
2024-12-13 11:03:32,63
2024-12-13 11:05:25,71
2024-12-13 11:11:01,74
2024-12-13 11:21:22,75
2024-12-13 11:25:53,114
2024-12-13 11:25:55,112
2024-12-13 11:26:24,123
2024-12-13 11:26:29,124
2024-12-13 11:26:38,125
2024-12-13 11:27:20,103
2024-12-13 11:27:22,105
2024-12-13 11:27:31,103
2024-12-13 11:27:36,100
2024-12-13 11:27:39,100
2024-12-13 11:27:42,101
2024-12-13 11:27:50,106
2024-12-13 11:27:52,106
2024-12-13 11:28:01,108
2024-12-13 11:28:03,107
2024-12-13 11:28:07,107
2024-12-13 11:28:15,101
2024-12-13 11:28:20,100
2024-12-13 11:28:22,101
2024-12-13 11:28:30,95
2024-12-13 11:28:32,96
2024-12-13 11:28:41,90
2024-12-13 11:28:43,92
2024-12-13 11:28:49,91
2024-12-13 11:28:52,91
2024-12-13 11:28:58,83
2024-12-13 11:29:04,93
2024-12-13 11:29:11,83
2024-12-13 11:29:12,83
2024-12-13 11:29:17,83
2024-12-13 11:29:26,77
2024-12-13 11:29:31,78
2024-12-13 11:29:32,78
2024-12-13 11:31:12,80
2024-12-13 11:31:17,79
2024-12-13 11:31:22,78
2024-12-13 11:31:27,78
2024-12-13 11:31:30,78
2024-12-13 11:35:00,79
2024-12-13 11:37:59,83
2024-12-13 11:44:00,93
2024-12-13 11:44:52,97
2024-12-13 11:44:57,99
2024-12-13 11:45:00,99
2024-12-13 11:45:03,97
2024-12-13 11:45:09,93
2024-12-13 11:45:15,93
2024-12-13 11:45:21,94
2024-12-13 11:45:25,95
2024-12-13 11:45:32,96
2024-12-13 11:45:37,96
2024-12-13 11:45:39,97
2024-12-13 11:45:43,99
2024-12-13 11:45:51,95
2024-12-13 11:45:53,95
2024-12-13 11:45:58,93
2024-12-13 11:46:07,88
2024-12-13 11:46:08,88
2024-12-13 11:46:13,90
2024-12-13 11:46:22,93
2024-12-13 11:46:27,89
2024-12-13 11:46:28,88
2024-12-13 11:46:34,89
2024-12-13 11:52:29,104
2024-12-13 11:52:31,102
2024-12-13 11:52:35,99
2024-12-13 11:52:44,95
2024-12-13 11:52:46,94
2024-12-13 11:52:52,101
2024-12-13 11:52:55,101
2024-12-13 11:53:02,99
2024-12-13 11:53:08,97
2024-12-13 11:53:10,98
2024-12-13 11:53:15,101
2024-12-13 11:53:23,102
2024-12-13 11:53:25,103
2024-12-13 11:53:34,102
2024-12-13 11:53:37,101
2024-12-13 11:53:40,100
2024-12-13 11:53:46,102
2024-12-13 11:53:55,100
2024-12-13 11:53:58,103
2024-12-13 11:54:05,106
2024-12-13 11:54:10,102
2024-12-13 11:54:12,102
2024-12-13 11:54:16,101
2024-12-13 11:54:24,101
2024-12-13 11:54:28,103
2024-12-13 11:54:35,100
2024-12-13 11:54:40,98
2024-12-13 11:54:41,97
2024-12-13 11:54:50,104
2024-12-13 11:54:54,103
2024-12-13 11:55:00,97
2024-12-13 11:55:03,98
2024-12-13 11:55:06,100
2024-12-13 11:55:14,103
2024-12-13 11:55:20,97
2024-12-13 11:55:24,94
2024-12-13 11:55:27,95
2024-12-13 11:55:32,97
2024-12-13 11:55:36,99
2024-12-13 11:55:45,101
2024-12-13 11:55:50,102
2024-12-13 11:55:51,102
2024-12-13 11:55:56,100
2024-12-13 11:56:04,104
2024-12-13 11:56:10,95
2024-12-13 11:56:11,95
2024-12-13 11:56:18,90
2024-12-13 11:56:24,96
2024-12-13 11:56:29,99
2024-12-13 11:56:35,96
2024-12-13 11:56:36,95
2024-12-13 11:56:45,88
2024-12-13 11:56:50,87
2024-12-13 11:56:55,81
2024-12-13 11:56:59,84
2024-12-13 11:57:01,84
2024-12-13 12:02:24,96
2024-12-13 12:03:59,110
2024-12-13 12:04:02,105
2024-12-13 12:04:10,96
2024-12-13 12:04:13,97
2024-12-13 12:04:16,99
2024-12-13 12:04:25,100
2024-12-13 12:04:30,104
2024-12-13 12:04:32,103
2024-12-13 12:04:36,101
2024-12-13 12:04:44,104
2024-12-13 12:04:46,104
2024-12-13 12:04:55,104
2024-12-13 12:04:56,104
2024-12-13 12:05:01,105
2024-12-13 12:05:06,109
2024-12-13 12:05:15,109
2024-12-13 12:05:19,103
2024-12-13 12:05:25,100
2024-12-13 12:05:26,100
2024-12-13 12:05:33,101
2024-12-13 12:05:42,102
2024-12-13 12:05:46,102
2024-12-13 12:05:48,99
2024-12-13 12:05:57,102
2024-12-13 12:06:02,102
2024-12-13 12:06:03,102
2024-12-13 12:06:10,102
2024-12-13 12:06:13,102
2024-12-13 12:06:22,100
2024-12-13 12:06:25,99
2024-12-13 12:06:28,100
2024-12-13 12:06:33,103
2024-12-13 12:06:39,105
2024-12-13 12:06:45,105
2024-12-13 12:06:52,97
2024-12-13 12:06:57,95
2024-12-13 12:06:59,95
2024-12-13 12:07:03,95
2024-12-13 12:07:08,99
2024-12-13 12:07:13,102
2024-12-13 12:07:22,100
2024-12-13 12:07:24,98
2024-12-13 12:07:28,97
2024-12-13 12:07:33,97
2024-12-13 12:07:42,90
2024-12-13 12:07:43,90
2024-12-13 12:07:52,89
2024-12-13 12:07:56,87
2024-12-13 12:07:59,87
2024-12-13 12:08:07,80
2024-12-13 12:08:12,78
2024-12-13 12:08:14,77
2024-12-13 12:08:54,79
2024-12-13 12:10:40,93
2024-12-13 12:20:02,78
2024-12-13 12:39:33,76
2024-12-13 12:41:56,115
2024-12-13 12:49:00,78
2024-12-13 12:49:01,75
2024-12-13 12:49:02,72
2024-12-13 12:49:03,70
2024-12-13 12:49:04,69
2024-12-13 12:49:05,69
2024-12-13 12:49:06,75
2024-12-13 12:49:07,78
2024-12-13 12:49:08,79
2024-12-13 12:49:09,80
2024-12-13 12:49:10,67
2024-12-13 12:49:11,67
2024-12-13 12:49:12,67
2024-12-13 12:49:13,65
2024-12-13 12:49:14,78
2024-12-13 12:49:15,83
2024-12-13 12:49:16,86
2024-12-13 12:49:17,87
2024-12-13 12:49:18,86
2024-12-13 12:49:19,82
2024-12-13 12:49:20,77
2024-12-13 12:49:21,75
2024-12-13 12:49:22,74
2024-12-13 12:49:23,72
2024-12-13 12:49:24,74
2024-12-13 12:49:25,74
2024-12-13 12:49:26,75
2024-12-13 12:49:27,76
2024-12-13 12:55:06,80
2024-12-13 12:59:26,66
2024-12-13 13:01:14,76
2024-12-13 13:12:31,84
2024-12-13 13:15:33,84
2024-12-13 13:16:13,74
2024-12-13 13:25:45,97
2024-12-13 13:32:00,82
2024-12-13 14:29:22,92
2024-12-13 14:30:30,95
2024-12-13 14:36:11,80
2024-12-13 14:40:55,74
2024-12-13 14:48:32,79
2024-12-13 14:53:45,74
2024-12-13 14:57:43,73
2024-12-13 15:01:39,71
2024-12-13 15:06:00,75
2024-12-13 15:06:14,82
2024-12-13 15:14:55,81
2024-12-13 15:19:59,77
2024-12-13 15:23:49,95
2024-12-13 15:25:19,89
2024-12-13 15:25:23,89
2024-12-13 15:25:29,89
2024-12-13 15:25:34,86
2024-12-13 15:25:35,87
2024-12-13 15:25:42,84
2024-12-13 15:25:49,84
2024-12-13 15:25:53,81
2024-12-13 15:25:59,79
2024-12-13 15:26:04,76
2024-12-13 15:26:05,76
2024-12-13 15:26:12,73
2024-12-13 15:26:16,75
2024-12-13 15:26:24,79
2024-12-13 15:26:29,77
2024-12-13 15:26:30,76
2024-12-13 15:26:35,80
2024-12-13 15:26:40,84
2024-12-13 15:32:36,74
2024-12-13 15:37:49,73
2024-12-13 15:39:57,71
2024-12-13 15:47:18,71
2024-12-13 15:53:00,67
2024-12-13 15:54:57,67
2024-12-13 15:56:34,72
2024-12-13 16:03:49,69
2024-12-13 16:05:26,67
2024-12-13 16:06:47,76
2024-12-13 16:06:52,75
2024-12-13 16:06:57,74
2024-12-13 16:06:58,74
2024-12-13 16:07:07,81
2024-12-13 16:10:39,72
2024-12-13 16:14:52,69
2024-12-13 16:15:12,76
2024-12-13 16:15:17,74
2024-12-13 16:15:22,73
2024-12-13 16:15:27,73
2024-12-13 16:15:32,74
2024-12-13 16:15:33,74
2024-12-13 16:15:41,81
2024-12-13 16:15:47,83
2024-12-13 16:15:51,79
2024-12-13 16:15:53,79
2024-12-13 16:15:58,78
2024-12-13 16:16:07,81
2024-12-13 16:16:08,81
2024-12-13 16:16:17,77
2024-12-13 16:16:21,77
2024-12-13 16:16:26,74
2024-12-13 16:16:32,73
2024-12-13 16:16:33,73
2024-12-13 16:16:40,73
2024-12-13 16:16:47,74
2024-12-13 16:16:52,74
2024-12-13 16:16:54,74
2024-12-13 16:17:01,77
2024-12-13 16:17:05,77
2024-12-13 16:17:12,80
2024-12-13 16:17:13,80
2024-12-13 16:17:22,77
2024-12-13 16:17:26,75
2024-12-13 16:17:30,74
2024-12-13 16:17:36,71
2024-12-13 16:17:42,76
2024-12-13 16:17:44,76
2024-12-13 16:17:48,80
2024-12-13 16:17:57,82
2024-12-13 16:18:02,83
2024-12-13 16:18:07,75
2024-12-13 16:18:12,75
2024-12-13 16:18:16,72
2024-12-13 16:18:21,74
2024-12-13 16:18:26,72
2024-12-13 16:18:30,73
2024-12-13 16:18:33,73
2024-12-13 16:18:42,74
2024-12-13 16:18:47,76
2024-12-13 16:18:52,75
2024-12-13 16:18:55,76
2024-12-13 16:18:59,75
2024-12-13 16:19:03,75
2024-12-13 16:19:12,75
2024-12-13 16:19:17,75
2024-12-13 16:19:20,74
2024-12-13 16:19:27,77
2024-12-13 16:19:28,77
2024-12-13 16:19:36,75
2024-12-13 16:19:41,75
2024-12-13 16:19:47,73
2024-12-13 16:19:48,73
2024-12-13 16:19:57,70
2024-12-13 16:20:02,71
2024-12-13 16:20:03,71
2024-12-13 16:20:12,72
2024-12-13 16:20:13,72
2024-12-13 16:20:18,73
2024-12-13 16:20:23,81
2024-12-13 16:20:31,90
2024-12-13 16:20:37,82
2024-12-13 16:20:42,84
2024-12-13 16:20:44,86
2024-12-13 16:20:52,77
2024-12-13 16:20:57,73
2024-12-13 16:21:02,71
2024-12-13 16:21:03,71
2024-12-13 16:21:12,79
2024-12-13 16:21:16,76
2024-12-13 16:21:22,75
2024-12-13 16:21:27,73
2024-12-13 16:21:32,74
2024-12-13 16:21:35,72
2024-12-13 16:21:38,75
2024-12-13 16:21:47,76
2024-12-13 16:21:50,76
2024-12-13 16:21:55,73
2024-12-13 16:22:00,71
2024-12-13 16:22:06,67
2024-12-13 16:22:10,69
2024-12-13 16:22:13,69
2024-12-13 16:22:22,79
2024-12-13 16:22:25,79
2024-12-13 16:22:28,81
2024-12-13 16:22:37,75
2024-12-13 16:22:42,72
2024-12-13 16:22:45,72
2024-12-13 16:22:48,74
2024-12-13 16:22:55,76
2024-12-13 16:23:01,86
2024-12-13 16:23:06,81
2024-12-13 16:23:08,84
2024-12-13 16:23:13,96
2024-12-13 16:23:22,78
2024-12-13 16:23:27,83
2024-12-13 16:23:28,84
2024-12-13 16:23:34,77
2024-12-13 16:23:42,77
2024-12-13 16:23:47,75
2024-12-13 16:23:50,77
2024-12-13 16:23:57,87
2024-12-13 16:24:02,95
2024-12-13 16:24:05,100
2024-12-13 16:24:08,101
2024-12-13 16:24:17,87
2024-12-13 16:24:22,80
2024-12-13 16:24:25,80
2024-12-13 16:24:30,87
2024-12-13 16:24:35,91
2024-12-13 16:24:38,92
2024-12-13 16:24:47,79
2024-12-13 16:24:52,84
2024-12-13 16:24:56,82
2024-12-13 16:24:59,83
2024-12-13 16:25:06,82
2024-12-13 16:25:08,82
2024-12-13 16:25:14,87
2024-12-13 16:25:22,81
2024-12-13 16:25:24,81
2024-12-13 16:25:29,77
2024-12-13 16:25:36,83
2024-12-13 16:25:41,80
2024-12-13 16:25:43,83
2024-12-13 16:25:52,79
2024-12-13 16:25:53,80
2024-12-13 16:26:02,97
2024-12-13 16:26:04,99
2024-12-13 16:26:08,89
2024-12-13 16:26:17,75
2024-12-13 16:26:21,74
2024-12-13 16:26:23,77
2024-12-13 16:26:32,89
2024-12-13 16:26:36,88
2024-12-13 16:26:40,85
2024-12-13 16:26:47,78
2024-12-13 16:26:49,78
2024-12-13 16:26:53,81
2024-12-13 16:27:02,93
2024-12-13 16:27:06,89
2024-12-13 16:27:10,94
2024-12-13 16:27:13,94
2024-12-13 16:27:22,83
2024-12-13 16:27:25,80
2024-12-13 16:27:32,92
2024-12-13 16:27:37,85
2024-12-13 16:27:39,86
2024-12-13 16:27:47,101
2024-12-13 16:27:50,96
2024-12-13 16:27:53,93
2024-12-13 16:28:00,78
2024-12-13 16:28:07,85
2024-12-13 16:28:12,90
2024-12-13 16:28:14,90
2024-12-13 16:28:18,96
2024-12-13 16:28:23,101
2024-12-13 16:32:32,80
2024-12-13 16:37:59,70
2024-12-13 16:39:30,71
2024-12-13 16:48:15,72
2024-12-13 16:52:06,92
2024-12-13 16:54:16,77
2024-12-13 16:55:20,73
2024-12-13 16:56:02,89
2024-12-13 16:56:07,87
2024-12-13 16:56:12,82
2024-12-13 16:56:13,81
2024-12-13 16:56:22,76
2024-12-13 16:56:27,74
2024-12-13 16:56:30,74
2024-12-13 16:56:33,74
2024-12-13 16:56:42,78
2024-12-13 17:01:40,103
2024-12-13 17:02:22,104
2024-12-13 17:02:30,102
2024-12-13 17:02:34,102
2024-12-13 17:02:37,103
2024-12-13 17:02:45,98
2024-12-13 17:02:46,98
2024-12-13 17:02:51,98
2024-12-13 17:07:00,73
2024-12-13 17:12:36,72
2024-12-13 17:15:36,69
2024-12-13 17:20:56,68
2024-12-13 17:24:50,68
2024-12-13 17:34:04,64
2024-12-13 17:35:14,68
2024-12-13 17:39:40,66
2024-12-13 17:42:45,73
2024-12-13 17:48:21,66
2024-12-13 17:49:44,67
2024-12-13 17:54:38,69
2024-12-13 17:57:36,70
2024-12-13 18:01:57,69
2024-12-13 18:18:46,71
2024-12-13 18:21:36,70
2024-12-13 18:29:00,71
2024-12-13 18:33:28,77
2024-12-13 18:38:29,75
2024-12-13 18:39:48,76
2024-12-13 18:45:22,68
2024-12-13 18:54:43,78
2024-12-13 18:57:09,66
2024-12-13 19:01:10,69
2024-12-13 19:06:41,63
2024-12-13 19:13:58,69
2024-12-13 19:15:36,68
2024-12-13 19:23:30,70
2024-12-13 19:28:28,69
2024-12-13 19:32:18,67
2024-12-13 19:36:31,80
2024-12-13 19:39:55,68
2024-12-13 19:45:34,66
2024-12-13 19:51:17,65
2024-12-13 19:57:10,65
2024-12-13 19:59:29,67
2024-12-13 20:05:07,68
2024-12-13 20:13:43,65
2024-12-13 20:17:55,103
2024-12-13 20:22:08,69
2024-12-13 20:37:10,82
2024-12-13 20:42:39,70
2024-12-13 20:49:25,70
2024-12-13 20:52:17,64
2024-12-13 20:54:37,68
2024-12-13 21:05:12,85
2024-12-13 21:08:52,65
2024-12-13 21:09:57,71
2024-12-13 21:15:43,64
2024-12-13 21:20:34,61
2024-12-13 21:27:04,66
2024-12-13 21:33:45,69
2024-12-13 21:36:29,68
2024-12-13 21:40:21,66
2024-12-13 21:40:24,67
2024-12-13 21:48:36,67
2024-12-13 21:49:11,68
2024-12-13 21:51:32,69
2024-12-13 21:54:46,68
2024-12-13 21:59:28,70
2024-12-13 22:07:06,85
2024-12-13 22:13:52,70
2024-12-13 22:18:06,70
2024-12-13 22:18:28,69
2024-12-13 22:18:33,69
2024-12-13 22:18:38,68
2024-12-13 22:18:43,68
2024-12-13 22:18:44,69
